row_id,record_id,title,original_doi,resolved_doi,doi_source,download_target,download_status,download_attempted,download_dir,pdf_count,primary_pdf,primary_pdf_pages,one_page_pdf,all_pdfs,url_candidates,notes
DOI0398,REF0410,Trihalomethanes in drinking water and bladder cancer burden in the European Union,10.1289/EHP4495,10.1289/EHP4495,original,https://doi.org/10.1289/EHP4495,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1289_EHP4495,0,,,,,https://doi.org/10.1289/EHP4495,Downloader produced no success/failure entry for this DOI.
DOI0399,REF0411,Monitoring of chlorination disinfection by-products and their associated health risks in drinking water of Pakistan,10.2166/wh.2014.096,10.2166/wh.2014.096,original,https://doi.org/10.2166/wh.2014.096,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.2166_wh.2014.096,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0400,REF0412,"Mutagenicity and genotoxicity of drinking water in Guelma region, Algeria",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0401,REF0413,"Estimation of the total trihalomethanes concentration in drinking water in some area of Baghdad, Iraq",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0402,REF0414,bottled water in the industrial city of Yanbu (Saudi Arabia),,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0403,REF0415,THMs assessment in Khuzestan rural water treatment plants,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0404,REF0416,Seasonal variation and modeling of disinfection by-products (DBPs) in drinking water distribution systems of Wassit Province Southeast Iraq,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0405,REF0417,Survey of Disinfection by-products in drinking water in Greater Kandy Water supply scheme,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0406,REF0418,Cancer Risks from Disinfection Byproducts of Drinking Water: The Neglected Issue in the Global South,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0407,REF0419,Levels of Trihalomethanes in Stored Water from High and Fundamental Schools: Comparison between Two Temporal Data Sets,10.4236/jwarp.2018.106032,10.4236/jwarp.2018.106032,original,https://doi.org/10.4236/jwarp.2018.106032,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.4236_jwarp.2018.106032,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0408,REF0420,Assessment of trihalomethanes in drinking water using gas chromatography,10.1201/9781351124140-92,10.1201/9781351124140-92,original,https://doi.org/10.1201/9781351124140-92,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1201_9781351124140-92,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0409,REF0421,The Investigation of Total Trihalomethanes Concentration in Drinking Water in Al-Dora and Al-Rasheed plants in Baghdad,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0410,REF0422,Determination of trihalomethanes concentration in Ahvaz water distribution network in 2011,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0411,REF0423,Trihalomethanes formation in Iranian water supply systems: predicting and modeling,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0412,REF0424,"Evaluation of quality of drinking water from Baghdad, Iraq",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0413,REF0425,Multi-route risk assessment from trihalomethanes in drinking water supplies,10.1007/s10661-010-1677-z,10.1007/s10661-010-1677-z,original,https://doi.org/10.1007/s10661-010-1677-z,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1007_s10661-010-1677-z,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0414,REF0426,Trihalometanes in San Juan city (Argentina) drinking water,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0415,REF0427,Seasonal variation in drinking water concentrations of disinfection by-products in IZMIR and associated human health risks,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0416,REF0428,Evaluation de la qualité des eaux de réservoirs de la wilaya de Blida et détermination des Trihalométhanes par méthode CPG couplée au Headspace,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0417,REF0429,L’hyperchloration de l’eau de robinet et cancer de la vessie dans la région de Mostaganem (Ouest algérien)Hyperchlorination of drinking tap water and bladder cancer in the region of Mostaganem (West Algeria),10.1007/s12558-010-0092-2,10.1007/s12558-010-0092-2,original,https://doi.org/10.1007/s12558-010-0092-2,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1007_s12558-010-0092-2,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0418,REF0430,Disinfection Byproducts in Drinking Water and Evaluation of Potential Health Risks of Long-Term Exposure in Nigeria,10.1155/2017/7535797,10.1155/2017/7535797,original,https://doi.org/10.1155/2017/7535797,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1155_2017_7535797,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0419,REF0431,"Perfluorinated compounds and trihalomethanes in drinking water sources of the Western Cape, South Africa",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0420,REF0432,Formation of trihalomethanes during the disinfection process in the potabilisation of water,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0421,REF0433,Determination of Trihalomethanes in Drinking Water from Three Different Water Sources in Florianopolis–Brazil using Purge and Trap and Gas Chromatography,10.1590/s0103-50532007000400012,10.1590/s0103-50532007000400012,original,https://doi.org/10.1590/s0103-50532007000400012,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1590_s0103-50532007000400012,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0422,REF0434,Desalinated and blended water in Saudi Arabia: human exposure and risk analysis from disinfection byproducts,10.1051/matecconf/201712005002,10.1051/matecconf/201712005002,original,https://doi.org/10.1051/matecconf/201712005002,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1051_matecconf_201712005002,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0423,REF0435,Trihalomethanes Issues Drinking Water After Chlorination Treatment,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0424,REF0436,Hollow-fiber solvent bar microextraction with gas chromatography and electron capture detection determination of disinfection byproducts in water samples,10.1002/jssc.201500324,10.1002/jssc.201500324,original,https://doi.org/10.1002/jssc.201500324,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1002_jssc.201500324,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0425,REF0437,Julio de Mesquita Filho,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0426,REF0438,Avaliação da formação de trihalometanos em um sistema de abastecimento de água para consumo humano,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0427,REF0439,Occurrence and Assessment of Selected Chemical Contaminants in Drinking Water from Eastern Romania,10.47743/achi-2021-2-0012,10.47743/achi-2021-2-0012,original,https://doi.org/10.47743/achi-2021-2-0012,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.47743_achi-2021-2-0012,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0428,REF0440,"Trihalomethane formation by chlorination of ammonium- and bromide-containing groundwater in water supplies of Hanoi, Vietnam",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0429,REF0441,Variation of Trihalomethanes Concentration In Tetova’s Drinking Water in the Autumn Season,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0430,REF0442,Seasonal Variation of Trihalomethanes Concentration in Tetova’s Drinking Water (Part B),,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0431,REF0443,Exposures to drinking water chlorination by-products in a Russian city,10.1078/1438-4639-00244,10.1078/1438-4639-00244,original,https://doi.org/10.1078/1438-4639-00244,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1078_1438-4639-00244,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0432,REF0448,"Investigation of Trihalomethane Compounds in Drinking Water of Baghdad, Iraq",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0433,REF0449,Carcinogenic Risk Assessment of Trihalomethanes in Major Drinking Water Sources of Baghdad City,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0434,REF0450,Evaluation of trihalomethanes (THMs) concentration in drinking water of Zanjan in 2013,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0435,REF0451,By-products Formation During Drinking Water Disinfection In The Distribution System: Kinetics,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0436,REF0452,Una aproximación a la evaluación de subproductos de la desinfección en aguas para consumo humano en municipalidades de Colombia,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0437,REF0453,Determination of Trihalomethanes in raw and treated water supply to a local city in Zimbabwe,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0438,REF0454,Trihalomethanes and arsenic in drinking water in Chinú and Corozal municipalities in Colombia: health risk assessment,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0439,REF0455,Investigation of Trihalomethanes Contamination in Surface Water Treatment Plants and Water Supply Network in An Giang-Mekong Delta Province of Viet Nam,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0440,REF0456,"Occurrence of nitrogenous and carbonaceous disinfection byproducts in drinking water distributed in Shenzhen, China",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0441,REF0457,Study for the trihalomethanes (THMs) in drinking water of networks in Weihai,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0442,REF0458,Chemical water quality in Thailand and its impacts on the drinking water production in Thailand,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0443,REF0459,Variability of TOC and DBPs (THMs and HAA5) in drinking water sources and distribution system in drought season: the North Iran case study,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0444,REF0460,Characteristics of natural organic matter and formation of chlorination by-products at Masaka waterworks,10.2166/aqua.2011.076,10.2166/aqua.2011.076,original,https://doi.org/10.2166/aqua.2011.076,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.2166_aqua.2011.076,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0445,REF0461,"Risk Assessment of Municipal Tap Water Supply for Trihalomethanes, the Chlorination Byproducts: Comparison of Different Boiling Methods",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0446,REF0462,Speciation and kinetics of trihalomethanes formation in drinking water supplies,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0447,REF0463,Age dependent adjustment factor (ADAF) for the estimation of cancer risk through trihalomethanes (THMs) for different age groups- A innovative approach,10.1016/j.ecoenv.2017.11.067,10.1016/j.ecoenv.2017.11.067,original,https://doi.org/10.1016/j.ecoenv.2017.11.067,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1016_j.ecoenv.2017.11.067,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0448,REF0464,Modeling of trihalomethanes (THMs) in drinking water supplies: a case study of eastern part of India,10.1007/s11356-015-4553-0,10.1007/s11356-015-4553-0,original,https://doi.org/10.1007/s11356-015-4553-0,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1007_s11356-015-4553-0,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0449,REF0465,Trihalomethane Formation in Rural Household Water Filtration Systems in Haiti,10.2175/193864701784293215,10.2175/193864701784293215,original,https://doi.org/10.2175/193864701784293215,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.2175_193864701784293215,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0450,REF0466,Disinfection by-product formation and mitigation strategies in point-of-use chlorination of turbid and non-turbid waters in Western Kenya,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0451,REF0467,Disinfection by-product formation and mitigation strategies in point-of-use chlorination with sodium dichloroisocyanurate in Tanzania,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0452,REF0468,Surveillance of chlorinated disinfection by-products in township waterworks in Xiamen,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0453,REF0469,Study on chlorinated disinfection byproducts and the relevant health risk in tap water of J City,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0454,REF0470,Variation of Disinfection by-probucts of urban water supply in Jinan Ctiy,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0455,REF0471,Research of VOCs in drinking water of Guangzhou,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0456,REF0472,Lucio Baldó Soulés,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
DOI0457,REF0473,Longitudinal Study of Microbial Diversity and Seasonality in the Mexico City Metropolitan Area Water Supply System,10.1128/aem.71.9.5129-5137.2005,10.1128/aem.71.9.5129-5137.2005,original,https://doi.org/10.1128/aem.71.9.5129-5137.2005,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1128_aem.71.9.5129-5137.2005,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0458,REF0474,Human health risk analysis from disinfection by-products (DBPs) in drinking and bathing water of some Indian cities,10.1186/2052-336x-12-73,10.1186/2052-336x-12-73,original,https://doi.org/10.1186/2052-336x-12-73,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1186_2052-336x-12-73,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0459,REF0475,Comparing THMs level in old and new water distribution systems; seasonal variation and probabilistic risk assessment,10.1016/j.ecoenv.2020.110286,10.1016/j.ecoenv.2020.110286,original,https://doi.org/10.1016/j.ecoenv.2020.110286,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.1016_j.ecoenv.2020.110286,0,,,,,,Downloader produced no success/failure entry for this DOI.
DOI0460,REF0476,"Monitoring of THMs Concentration in Isfahan Water Distribution System and Zoning by GIS, a Case Study in the Center of Iran",,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
