2026-03-18 15:00:38,966 | INFO | auto_paper_download.downloader | Loaded 8 environment variables from .env
2026-03-18 15:00:38,966 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:00:38,966 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:00:38,966 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1289/EHP4495
2026-03-18 15:00:38,967 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:00:57,082 | WARNING | auto_paper_download.clients | Skipping 10.1289/EHP4495 (Crossref)：No PDF link found via Crossref for DOI 10.1289/EHP4495
2026-03-18 15:00:57,085 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:00:57,085 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:00:57,085 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s10661-014-4223-6
2026-03-18 15:00:57,088 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:01:01,228 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s10661-014-4223-6 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:01:01,237 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:01:01,237 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:01:01,237 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s10661-008-0608-8
2026-03-18 15:01:01,242 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:01:04,999 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s10661-008-0608-8 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:01:05,013 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:01:05,013 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:01:05,013 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.4103/2277-9183.105358
2026-03-18 15:01:05,016 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:01:18,135 | WARNING | auto_paper_download.clients | Skipping 10.4103/2277-9183.105358 (Crossref)：No PDF link found via Crossref for DOI 10.4103/2277-9183.105358
2026-03-18 15:01:18,138 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:01:18,138 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:01:18,138 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.21123/bsj.2018.15.3.0270
2026-03-18 15:01:18,141 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:01:31,133 | WARNING | auto_paper_download.clients | Skipping 10.21123/bsj.2018.15.3.0270 (Crossref)：Crossref download failed (404) for DOI 10.21123/bsj.2018.15.3.0270: <!DOCTYPE html> <html lang="en"> <head><!-- inj yui3-seed: --><script type='text/javascript' src='//cdnjs.cloudflare.com/ajax/libs/yui/3.6.0/yui/yui-min.js'></s...
2026-03-18 15:01:31,136 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:01:31,136 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:01:31,136 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.4236/jwarp.2018.106032
2026-03-18 15:01:31,143 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:01:39,502 | WARNING | auto_paper_download.supplements | Failed to load DOI landing page for 10.4236/jwarp.2018.106032: HTTPSConnectionPool(host='www.scirp.org', port=443): Max retries exceeded with url: /journal/paperinformation?paperid=85602 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
2026-03-18 15:01:41,010 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:01:41,011 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:01:41,011 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.2166/wh.2015.211
2026-03-18 15:01:41,014 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:01:56,570 | WARNING | auto_paper_download.clients | Skipping 10.2166/wh.2015.211 (Crossref)：Crossref download blocked by Cloudflare (403) for DOI 10.2166/wh.2015.211
2026-03-18 15:01:56,572 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:01:56,572 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:01:56,572 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1007/s10661-010-1677-z
2026-03-18 15:01:56,576 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:02:00,212 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s10661-010-1677-z 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:02:00,229 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:02:00,229 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:02:00,229 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1155/2017/7535797
2026-03-18 15:02:00,232 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:02:18,105 | WARNING | auto_paper_download.clients | Skipping 10.1155/2017/7535797 (Crossref)：Crossref download blocked by Cloudflare (403) for DOI 10.1155/2017/7535797
2026-03-18 15:02:18,108 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:02:18,108 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:02:18,108 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.17758/eares8.eap1119300
2026-03-18 15:02:18,111 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:02:32,836 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.17758/eares8.eap1119300
2026-03-18 15:02:34,344 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:02:34,344 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:02:34,344 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1134/s0097807818050202
2026-03-18 15:02:34,346 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:03:01,997 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Fate%20of%20natural%20organic%20matter%20and%20formation%20of%20disinfection%20by-products%20in%20a%20conventional%20water%20treatment%20plant%2C%20MSc%20thesis&publication_year=2013&author=Abdel%20Halim%2CN.H. (429)
2026-03-18 15:03:03,267 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Evaluation%20of%20drinking%20water%20pollution%20and%20health%20effects%20in%20Baghdad%2C%20Iraq&journal=J.%20Environ.%20Prot.&doi=10.4236%2Fjep.2012.36064&volume=3&pages=533-537&publication_year=2012&author=Aenab%2CA.M.&author=Singh%2CS.K. (429)
2026-03-18 15:03:04,473 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Bacteriological%20and%20physicochemical%20studies%20on%20Tigris%20River%20near%20the%20Water%20Purification%20Stations%20within%20Baghdad%20Province&publication_year=2012&author=Al-Bayatti%2CK.&author=Al-Arajy%2CK.&author=Al-Nuaemy%2CS. (429)
2026-03-18 15:03:05,603 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Natural%20organic%20matter%20removal%20from%20samples%20from%20Tigris%20River%20at%20Jadiriya%20in%20Baghdad%2C%20PhD%20Thesis%2C%20Univ.%20Baghdad%2C%20College%20of%20Engineering&publication_year=2006&author=Al-Naseri%2CS.K. (429)
2026-03-18 15:03:06,586 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Evaluating%20raw%20and%20treated%20water%20quality%20of%20Tigris%20River%20within%20Baghdad%20by%20index%20analysis&journal=J.%20Water%20Resour.%20Prot.&doi=10.4236%2Fjwarp.2010.27072&volume=2&pages=629-635&publication_year=2010&author=Alobaidy%2CA.M.&author=Maulood%2CB.K.&author=Kadhem%2CA.J. (429)
2026-03-18 15:03:07,788 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Investigation%20of%20chlorination%20disinfection%20by-products%20and%20its%20relation%20with%20drinking%20water%20properties%20in%20Al-Dora%20and%20Al-Rasheed%20purification%20plants%20in%20Baghdad&publication_year=2014&author=Asaad%2CN.M. (429)
2026-03-18 15:03:09,017 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Formation%20and%20decay%20of%20DBP%20in%20the%20distribution%20system%2C%20Denver%2C%20CO%3A%20AWWA%20Res.%20Foundation%2C%20AWWA%20and%20IWA%20Publ.&publication_year=2006&author=Baribeau%2CH.&author=Boulos%2CL.&author=Haileselassie%2CH.&author=Crozes%2CG.&author=Singer%2CP.C.&author=Nichols%2CC.&author=Schlesinger%2CS.A.&author=Gullick%2CR.W.&author=Williams%2CS.L.&author=Williams%2CR.L.&author=Fountleroy%2CL.&author=Andrews%2CS.A.&author=Moffat%2CE. (429)
2026-03-18 15:03:10,206 | WARNING | auto_paper_download.supplements | Supplementary asset request failed http://scholar.google.com/scholar_lookup?&title=Reducing%20cancer%20risks%20by%20improving%20organic%20carbon%20removal&journal=J.%20Am.%20Water%20Works%20Assoc.&doi=10.1002%2Fj.1551-8833.1996.tb06570.x&volume=88&issue=6&pages=40-52&publication_year=1996&author=Black%2CB.D.&author=Harrington%2CG.W.&author=Singer%2CP.C. (429)
2026-03-18 15:03:11,712 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:03:11,712 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:03:11,712 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.14482/inde.34.1.7949
2026-03-18 15:03:11,721 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:03:24,977 | WARNING | auto_paper_download.clients | Skipping 10.14482/inde.34.1.7949 (Crossref)：No PDF link found via Crossref for DOI 10.14482/inde.34.1.7949
2026-03-18 15:03:24,981 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:03:24,981 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:03:24,981 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/j.chemosphere.2017.08.172
2026-03-18 15:03:24,984 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:03:35,356 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/j.chemosphere.2017.08.172
2026-03-18 15:03:36,869 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:03:36,869 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:03:36,869 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/j.scitotenv.2004.08.008
2026-03-18 15:03:36,875 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:03:44,775 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/j.scitotenv.2004.08.008
2026-03-18 15:03:46,286 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:03:46,286 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:03:46,287 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.2166/aqua.2011.076
2026-03-18 15:03:46,290 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:04:03,559 | WARNING | auto_paper_download.clients | Skipping 10.2166/aqua.2011.076 (Crossref)：No PDF link found via Crossref for DOI 10.2166/aqua.2011.076
2026-03-18 15:04:03,562 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:04:03,562 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:04:03,562 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.30638/eemj.2020.041
2026-03-18 15:04:03,565 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:04:17,010 | WARNING | auto_paper_download.clients | Skipping 10.30638/eemj.2020.041 (Crossref)：No PDF link found via Crossref for DOI 10.30638/eemj.2020.041
2026-03-18 15:04:17,013 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:04:17,014 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:04:17,014 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/j.ecoenv.2017.11.067
2026-03-18 15:04:17,018 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:04:22,146 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/j.ecoenv.2017.11.067
2026-03-18 15:04:23,658 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:04:23,658 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:04:23,658 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.2175/193864701784293215
2026-03-18 15:04:23,660 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:04:37,010 | WARNING | auto_paper_download.clients | Skipping 10.2175/193864701784293215 (Crossref)：No PDF link found via Crossref for DOI 10.2175/193864701784293215
2026-03-18 15:04:37,015 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:04:37,020 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:04:37,020 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.4269/ajtmh.2010.09-0431
2026-03-18 15:04:37,022 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:04:52,520 | WARNING | auto_paper_download.clients | Skipping 10.4269/ajtmh.2010.09-0431 (Crossref)：No PDF link found via Crossref for DOI 10.4269/ajtmh.2010.09-0431
2026-03-18 15:04:52,522 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:04:52,522 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:04:52,522 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1128/aem.71.9.5129-5137.2005
2026-03-18 15:04:52,525 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:05:06,046 | WARNING | auto_paper_download.clients | Skipping 10.1128/aem.71.9.5129-5137.2005 (Crossref)：Crossref download blocked by Cloudflare (403) for DOI 10.1128/aem.71.9.5129-5137.2005
2026-03-18 15:05:06,053 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:05:06,053 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Springer=1)
2026-03-18 15:05:06,054 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1186/2052-336x-12-73
2026-03-18 15:05:06,055 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:05:44,321 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:05:44,321 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:05:44,321 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/j.ecoenv.2020.110286
2026-03-18 15:05:44,329 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:05:49,376 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/j.ecoenv.2020.110286
2026-03-18 15:05:50,883 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:05:50,883 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:05:50,883 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.32508/stdj.v19i4.619
2026-03-18 15:05:50,898 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:06:12,047 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:06:12,047 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:06:12,047 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.2166/washdev.2018.104
2026-03-18 15:06:12,051 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
