title,doi,url
Concentrations and Mass Fluxes of Chloroacetic Acids and Trifluoroacetic Acid in Rain and Natural Waters in Switzerland,10.1021/es990855f,https://doi.org/10.1021/es990855f
Accumulation of trifluoroacetate in seasonal wetlands in California,10.1021/es0013982,https://doi.org/10.1021/es0013982
Trifluoroacetate in ocean waters,10.1021/es0101532,https://doi.org/10.1021/es0101532
Levels and Temporal Trends of Trifluoroacetate (TFA) in Archived Plants: Evidence for Increasing Emissions of Gaseous TFA Precursors over the Last Decades,10.1021/acs.estlett.2c00164,https://doi.org/10.1021/acs.estlett.2c00164
Trifluoroacetate in the environment. Evidence for sources other than HFC/HCFCs,10.1021/es980674y,https://doi.org/10.1021/es980674y
"Quantitative characterization of short- and long-chain perfluorinated acids in solid matrices in Shanghai, China",10.1016/j.scitotenv.2009.10.032,https://doi.org/10.1016/j.scitotenv.2009.10.032
Airborne haloacetic acids,10.1021/es026345u,https://doi.org/10.1021/es026345u
Trifluoroacetic acid in ancient freshwater,10.1016/S1352-2310(01)00148-0,https://doi.org/10.1016/S1352-2310(01)00148-0
Haloacetates in fog and rain,10.1021/es0012220,https://doi.org/10.1021/es0012220
Poly and perfluorinated carboxylates in north American precipitation,10.1021/es061403n,https://doi.org/10.1021/es061403n
Comparison of haloacetic acids in the environment of the Northern and Southern Hemispheres,10.1021/es050118l,https://doi.org/10.1021/es050118l
Distribution of haloacetic acids in the water columns of the Laurentian Great Lakes and Lake Malawi,10.1021/es011156h,https://doi.org/10.1021/es011156h
Analysis of trifluoroacetic acid and other short-chain perfluorinated acids (C2-C4) in precipitation by liquid chromatography-tandem mass spectrometry: Comparison to patterns of long-chain perfluorinated acids (C5-C18),10.1016/j.aca.2008.04.064,https://doi.org/10.1016/j.aca.2008.04.064
Natural background levels of trifluoroacetate in rain and snow,10.1021/es9913683,https://doi.org/10.1021/es9913683
"Rainwater trifluoroacetic acid (TFA) in Guangzhou, South China: Levels, wet deposition fluxes and source implication",10.1016/j.scitotenv.2013.08.055,https://doi.org/10.1016/j.scitotenv.2013.08.055
Determination of trifluoroacetic acid in 1996-1997 precipitation and surface waters in California and Nevada,10.1021/es980697c,https://doi.org/10.1021/es980697c
Monitoring of trifluoroacetic acid concentration in environmental waters in China,10.1016/j.watres.2004.12.043,https://doi.org/10.1016/j.watres.2004.12.043
Efficient removal of trifluoroacetic acid from water using surface-modified activated carbon and electro-assisted desorption,10.1016/j.jhazmat.2022.129051,https://doi.org/10.1016/j.jhazmat.2022.129051
Ultra-Short-Chain Perfluoroalkyl Acids including Trifluoromethane Sulfonic Acid in Water Connected to Known and Suspected Point Sources in Sweden,10.1021/acs.est.9b02211,https://doi.org/10.1021/acs.est.9b02211
"Mass Balance of Perfluoroalkyl Acids, Including Trifluoroacetic Acid, in a Freshwater Lake",10.1021/acs.est.1c04472,https://doi.org/10.1021/acs.est.1c04472
Increases in Trifluoroacetate Concentrations in Surface Waters over Two Decades,10.1021/acs.est.2c01826,https://doi.org/10.1021/acs.est.2c01826
"Multimedia Distribution and Transfer of Per- and Polyfluoroalkyl Substances (PFASs) Surrounding Two Fluorochemical Manufacturing Facilities in Fuxin, China",10.1021/acs.est.8b00544,https://doi.org/10.1021/acs.est.8b00544
Per- and polyfluoroalkyl substances (PFASs) in precipitation from mainland China: Contributions of unknown precursors and short-chain (C2–C3) perfluoroalkyl carboxylic acids,10.1016/j.watres.2019.01.019,https://doi.org/10.1016/j.watres.2019.01.019
Distribution of novel and legacy per-/polyfluoroalkyl substances in serum and its associations with two glycemic biomarkers among Chinese adult men and women with normal blood glucose levels,10.1016/j.envint.2019.105295,https://doi.org/10.1016/j.envint.2019.105295
EURL-SRM-Residue Findings Report,N/A,https://www.eurl-pesticides.eu/userfiles/file/eurlsrm/eurlsrm_residue-observation_tfa-dfa.pdf
"Distribution and dry deposition of alternative and legacy perfluoroalkyl and polyfluoroalkyl substances in the air above the Bohai and Yellow Seas, China",10.1016/j.atmosenv.2018.08.052,https://doi.org/10.1016/j.atmosenv.2018.08.052
Trifluoroacetate in Precipitation: Deriving a Benchmark Data Set,10.1021/acs.est.0c02910,https://doi.org/10.1021/acs.est.0c02910
Dynamic and thermodynamic mechanisms of TFA adsorption by particulate matter,10.1016/j.envpol.2017.03.049,https://doi.org/10.1016/j.envpol.2017.03.049
"Robust trace analysis of polar (C2-C8) perfluorinated carboxylic acids by liquid chromatography-tandem mass spectrometry: method development and application to surface water, groundwater and drinking water",10.1007/s11356-018-1731-x,https://doi.org/10.1007/s11356-018-1731-x
Novel and legacy per- and polyfluoroalkyl substances (PFASs) in a farmland environment: Soil distribution and biomonitoring with plant leaves and locusts,10.1016/j.envpol.2020.114487,https://doi.org/10.1016/j.envpol.2020.114487
"Ultra-Short-Chain PFASs in the Sources of German Drinking Water: Prevalent, Overlooked, Difficult to Remove, and Unregulated",10.1021/acs.est.1c07949,https://doi.org/10.1021/acs.est.1c07949
Correlation Analysis of Perfluoroalkyl Substances in Regional U.S. Precipitation Events,10.1016/j.watres.2020.116685,https://doi.org/10.1016/j.watres.2020.116685
Ultrashort-chain perfluoroalkyl substance trifluoroacetate (TFA) in beer and tea – An unintended aqueous extraction,10.1016/j.foodchem.2021.129304,https://doi.org/10.1016/j.foodchem.2021.129304
"Small, mobile, persistent: Trifluoroacetate in the water cycle – Overlooked sources, pathways, and consequences for drinking water supply",10.1016/j.watres.2017.09.045,https://doi.org/10.1016/j.watres.2017.09.045
"Occurrence and Phase Distribution of Neutral and Ionizable Per- and Polyfluoroalkyl Substances (PFASs) in the Atmosphere and Plant Leaves around Landfills: A Case Study in Tianjin, China",10.1021/acs.est.7b05385,https://doi.org/10.1021/acs.est.7b05385
Improved Total Oxidizable Precursor Assay for Quantifying Polyfluorinated Compounds Amenable to Oxidative Conversion to Perfluoroalkyl Carboxylic Acids,10.1021/acsestwater.3c00224,https://doi.org/10.1021/acsestwater.3c00224
Per- and polyfluoroalkyl substances and the contribution of unknown precursors and short-chain (C2–C3) perfluoroalkyl carboxylic acids at solid waste disposal facilities,10.1016/j.scitotenv.2019.135832,https://doi.org/10.1016/j.scitotenv.2019.135832
Per- And Polyfluoroalkyl Substances in Outdoor and Indoor Dust from Mainland China: Contributions of Unknown Precursors and Implications for Human Exposure,10.1021/acs.est.0c08242,https://doi.org/10.1021/acs.est.0c08242
"Distribution characteristics of trifluoroacetic acid in the environments surrounding fluorochemical production plants in Jinan, China",10.1007/s11356-019-06689-4,https://doi.org/10.1007/s11356-019-06689-4
Simultaneous analysis of perfluoroalkyl and polyfluoroalkyl substances including ultrashort-chain C2 and C3 compounds in rain and river water samples by ultra performance convergence chromatography,10.1016/j.chroma.2017.09.049,https://doi.org/10.1016/j.chroma.2017.09.049
"A 17-fold increase of trifluoroacetic acid in landscape waters of Beijing, China during the last decade",10.1016/j.chemosphere.2014.09.033,https://doi.org/10.1016/j.chemosphere.2014.09.033
Distribution of trifluoroacetic acid in gas and particulate phases in Beijing from 2013 to 2016,10.1016/j.scitotenv.2018.03.384,https://doi.org/10.1016/j.scitotenv.2018.03.384
Elevated Levels of Ultrashort- and Short-Chain Perfluoroalkyl Acids in US Homes and People,10.1021/acs.est.2c06715,https://doi.org/10.1021/acs.est.2c06715
