source_reference_short,chemical_name,medium,subcategory,location,country_or_region,sampling_year_or_period,time_period_group,min_concentration,max_concentration,mean_concentration,median_concentration,concentration_unit,notes
"Jordan and Frank, 1999",TFA,precipitation,Rain,Germany,Germany,1995-1996,pre_2010,10,410,110,,ng/L,
"Zhai, 2015",TFA,precipitation,Snow,China (Beijing),China,2012,post_2010,214,350,282,,ng/L,
"Wujcik, 1999",TFA,precipitation,Rain,"California, USA",USA,1996-1997,pre_2010,20.7,463,,63.9,ng/L,
"Yeung, 2017",TFA,precipitation,Rain,Canada,Canada,"2012, 2014",post_2010,19,261,140,,ng/L,multiple years
"Wujcik, 1999",TFA,precipitation,Rain,"Nevada, USA",USA,1996-1997,pre_2010,108,763,,136,ng/L,
"Chen, 2018",TFA,precipitation,Rain,China (Fuxin),China,2016,post_2010,580,800,696.7,,ng/L,
"Wujcik, 1999",TFA,precipitation,Fog,"California, USA",USA,1996-1997,pre_2010,86.6,1390,,,ng/L,
"Chen, 2019",TFA,precipitation,Rain,China,China,2016,post_2010,8.8,1800,154.5,,ng/L,
"Berg, 2000",TFA,precipitation,Rain and snow,Switzerland,Switzerland,1996-1997,pre_2010,<3,1550,151,,ng/L,reported as <3
"Freeling, 2020",TFA,precipitation,All precipitation,Germany,Germany,2018-2019,post_2010,<25,38000,335**,210,ng/L,reported as <25
"von Sydow, 2000",TFA,precipitation,Rain,Ireland,Ireland,1996,pre_2010,2,92,31.75,,ng/L,
"Pike, 2021",TFA,precipitation,Rain,"USA (Ohio/Indiana, Wyoming)",USA,2019,post_2010,4,1200,284.29,,ng/L,
"von Sydow, 2000",TFA,precipitation,Rain,Poland,Poland,1996,pre_2010,26,1100,318,,ng/L,
"Bjornsdotter, 2022",TFA,precipitation,Wet & dry deposition,Sweden,Sweden,2018-2019,post_2010,18,300,104.5,,ng/L,
"von Sydow, 2000",TFA,precipitation,Snow,Sweden,Sweden,1997,pre_2010,9,18,12,,ng/L,
"von Sydow, 2000",TFA,precipitation,Snow,Canada,Canada,"1994, 1996",pre_2010,1,32,8.6,,ng/L,multiple years
"von Sydow, 2000",TFA,precipitation,Snow,New Zealand,New Zealand,1995,pre_2010,2,2,2,,ng/L,
"Scheurer, 2017",TFA,surface water,"rivers, streams",Germany (Neckar river),Germany,"2016, 2017",post_2010,1000,140000,,,ng/L,multiple years
"von Sydow, 2000",TFA,precipitation,Snow,Antarctica,Antarctica,1995-1996,pre_2010,1,110,40,,ng/L,
"Yeung, 2017",TFA,surface water,"rivers, streams",Canada,Canada,"2012, 2014",post_2010,<10,11,,,ng/L,reported as <10; multiple years
"Cahill, 2001",TFA,precipitation,Rain,"California, USA",USA,1998,pre_2010,27,302,168.75,,ng/L,
"Chen, 2018",TFA,surface water,"rivers, streams",China (Fuxin),China,2016,post_2010,670,35000,5737.6,,ng/L,
"Rompp, 2001",TFA,precipitation,Fog,Germany,Germany,1998-1999,pre_2010,20,1900,230,,ng/L,
"Bjornsdotter, 2019",TFA,surface water,"rivers, streams",Sweden,Sweden,"2017, 2018",post_2010,<34,14000,,610,ng/L,reported as <34; multiple years
"Zhang, 2005",TFA,precipitation,Rain,China (Beijing),China,"2000, 2001",pre_2010,25,235,117.9,,ng/L,multiple years
"Bjornsdotter, 2019",TFA,surface water,"rivers, streams",Sweden,Sweden,"2017, 2018",post_2010,<34,2700,,,ng/L,reported as <34; multiple years
"Zhang, 2005",TFA,precipitation,Snow,China (Beijing),China,2001,pre_2010,148,169,158.5,,ng/L,
"Janda, 2019",TFA,surface water,"rivers, streams",Germany,Germany,2019,post_2010,480,17000,480-1200,,ng/L,
"Zhang, 2005",TFA,precipitation,Snow,China (Changchun),China,2001,pre_2010,98,98,98,,ng/L,
"Xie, 2020",TFA,surface water,"rivers, streams",China,China,2016,post_2010,488,1151,863,,ng/L,
"Scott, 2005",TFA,precipitation,Rain,Chile (urban),Chile,1999,pre_2010,6,87,14,,ng/L,
"Bjornsdotter, 2022",TFA,surface water,"rivers, streams",Sweden,Sweden,2019,post_2010,<0.1,820,160.5,101,ng/L,reported as <0.1
"Scott, 2005",TFA,precipitation,Rain,Chile (rural),Chile,1999,pre_2010,5,21,12,,ng/L,
"Cahill, 2022",TFA,surface water,"rivers, streams","USA (California, Alaska)",USA,2021,post_2010,23.1,2790,,180,ng/L,
"Scott, 2005",TFA,precipitation,Rain,Malawi,Malawi,1999,pre_2010,4,15,8.8,,ng/L,
"Neuwald, 2021",TFA,surface water,"rivers, streams",Germany,Germany,2020,post_2010,300,6000,1913,1150,ng/L,
"Scott, 2005",TFA,precipitation,Rain,Canada (west),Canada,1999,pre_2010,3,37,21,,ng/L,
"Neuwald, 2021",TFA,surface water,"rivers, streams",Germany,Germany,2020,post_2010,400,12400,1938,850,ng/L,
"Scott, 2005",TFA,precipitation,Rain,Canada (Ontario),Canada,1999,pre_2010,12,350,94,,ng/L,
"Scott, 2005",TFA,precipitation,Rain,Canada (Quebec),Canada,1999,pre_2010,n.d.,54,34,,ng/L,reported as n.d.
"Scott, 2006",TFA,precipitation,Rain,USA (North-East),USA,"1998, 1999",pre_2010,3,2400,,,ng/L,multiple years
"Zhai, 2015",TFA,surface water,"lakes, ponds",China (Beijing),China,2012,post_2010,474,812,643,,ng/L,
"Scott, 2006",TFA,precipitation,Rain,Canada (rural),Canada,2002,pre_2010,4,220,,,ng/L,
"Bjornsdotter, 2019",TFA,surface water,"lakes, ponds",Sweden,Sweden,"2017, 2018",post_2010,<34,74,,,ng/L,reported as <34; multiple years
"Scott, 2006",TFA,precipitation,Rain,Canada (urban),Canada,"2003, 2004",pre_2010,43,270,,,ng/L,multiple years
"Xie, 2020",TFA,surface water,"lakes, ponds",China,China,2016,post_2010,2571,2805,2688,,ng/L,
"Taniyasu, 2008",TFA,precipitation,Rain,Japan,Japan,2007,pre_2010,39.3,75.9,61.05,,ng/L,
"Bjornsdotter, 2022",TFA,surface water,"lakes, ponds",Sweden,Sweden,2019,post_2010,31,44,34,,ng/L,
"Wang, 2014",TFA,precipitation,Rain,China (southern),China,2007-2008,pre_2010,45.8,974,152,166,ng/L,
"Pickard, 2020",TFA,ice,,Canada (Devon Ice Cap),Canada,2014-2010,post_2010,40.3,128.69,77.704,,ng/L,
