reference_block,title_guess
"Janda, J.; Nödler, K.; Brauch, H. J.; Zwiener, C.; Lange, F. T. Robust Trace Analysis of Polar (C2-C8) Perfluorinated Carboxylic Acids by Liquid Chromatography-Tandem Mass Spectrometry: Method Development and Application to Surface Water, Groundwater and Drinking Water. Environmental Science and Pollution Research 2019, 26 (8), 7326−7336.",", 26 (8), 7326−7336"
"Neuwald, I. J.; Hübner, D.; Wiegand, H. L.; Valkov, V.; Borchers, U.; Nödler, K.; Scheurer, M.; Hale, S. E.; Arp, H. P. H.; Zahn, D. Ultra-Short-Chain PFASs in the Sources of German Drinking Water: Prevalent, Overlooked, Difficult to Remove, and Unregulated. Environ. Sci. Technol. 2022, 56, 6380.",", 56, 6380"
"Liang, S. H.; Steimling, J. A.; Chang, M. Analysis of UltrashortChain and Short-Chain (C1 to C4) per- and Polyfluorinated Substances in Potable and Non-Potable Waters. Journal of Chromatography Open 2023, 4, 100098.",", 4, 100098"
"Tian, Y.; Yao, Y.; Chang, S.; Zhao, Z.; Zhao, Y.; Yuan, X.; Wu, F.; Sun, H. Occurrence and Phase Distribution of Neutral and Ionizable Per- and Polyfluoroalkyl Substances (PFASs) in the Atmosphere and Plant Leaves around Landfills: A Case Study in Tianjin, China. Environ. Sci. Technol. 2018, 52 (3), 1301−1310.",", 52 (3), 1301−1310"
"Chen, H.; Yao, Y.; Zhao, Z.; Wang, Y.; Wang, Q.; Ren, C.; Wang, B.; Sun, H.; Alder, A. C.; Kannan, K. Multimedia Distribution and Transfer of Per- and Polyfluoroalkyl Substances (PFASs) Surrounding Two Fluorochemical Manufacturing Facilities in Fuxin, China. Environ. Sci. Technol. 2018, 52 (15), 8263−8271. 19931 https://doi.org/",", 52 (15), 8263−8271"
"Singh, R. R.; Papanastasiou, D. K. Comment on “Scientific Basis for Managing PFAS as a Chemical Class. Environmental Science and Technology Letters 2021, 8 (2), 192−194.",", 8 (2), 192−194"
"Arp, H. P. H.; Kühnel, D.; Rummel, C.; MacLeod, M.; Potthoff, A.; Reichelt, S.; Rojo-Nieto, E.; Schmitt-Jansen, M.; Sonnenberg, J.; Toorman, E.; Jahnke, A. Weathering Plastics as a Planetary Boundary Threat: Exposure, Fate, and Hazards. Environ. Sci. Technol. 2021, 55 (11), 7246−7255.",", 55 (11), 7246−7255"
"Persson, L. M.; Breitholtz, M.; Cousins, I. T.; De Wit, C. A.; MacLeod, M.; McLachlan, M. S. Confronting Unknown Planetary Boundary Threats from Chemical Pollution. Environ. Sci. Technol. 2013, 47 (22), 12619−12622.",", 47 (22), 12619−12622"
"MacLeod, M.; Breitholtz, M.; Cousins, I. T.; De Wit, C. A.; Persson, L. M.; Rudén, C.; McLachlan, M. S. Identifying Chemicals That Are Planetary Boundary Threats. Environ. Sci. Technol. 2014, 48 (19), 11057−11063.",", 48 (19), 11057−11063"
"Cousins, I. T.; Johansson, J. H.; Salter, M. E.; Sha, B.; Scheringer, M. Outside the Safe Operating Space of a New Planetary Boundary for Per- and Polyfluoroalkyl Substances (PFAS). Environ. Sci. Technol. 2022, 56 (16), 11172−11179.",", 56 (16), 11172−11179"
"Pike, K. A.; Edmiston, P. L.; Morrison, J. J.; Faust, J. A. Correlation Analysis of Perfluoroalkyl Substances in Regional U.S. Precipitation Events. Water Res. 2021, 190, No. 116685.",", 190, No"
"Freeling, F.; Behringer, D.; Heydel, F.; Scheurer, M.; Ternes, T. A.; Nödler, K. Trifluoroacetate in Precipitation: Deriving a Benchmark Data Set. Environ. Sci. Technol. 2020, 54 (18), 11210−11219.",", 54 (18), 11210−11219"
"Scheurer, M.; Nödler, K. Ultrashort-Chain Perfluoroalkyl Substance Trifluoroacetate (TFA) in Beer and Tea − An Unintended Aqueous Extraction. Food Chem. 2021, 351, No. 129304.",", 351, No"
"The European Parliament and the Council of the European Union. Directive (EU) 2020/2184 of the European Parliament and of the Council of 16 December 2020 on the Quality of Water Intended for Human Consumption (Recast) (Text with EEA Relevance); EU, 2020; pp 1−62. https://eur-lex.europa.eu/eli/dir/2020/2184/oj (accessed 2024−05−22).","/2184 of the European Parliament and of the Council of 16 December 2020 on the Quality of Water Intended for Human Consumption (Recast) (Text with EEA Relevance); EU, 2020; pp 1−62"
"GLOBAL 2000; Friends of the Earth Austria; Pesticide Action Network Europe (PAN Europe); Generations Futures. TFA in Water, Dirty PFAS Legacy Under the Radar; 2024; pp 1−23 https://www. pan-europe.info/resources/reports/2024/05/tfa-water-dirty-pfaslegacy-under-radar (accessed 2024−05−31).",Friends of the Earth Austria; Pesticide Action Network Europe (PAN Europe); Generations Futures
"Meier, S.; Brodmann, P.; Weber, S.; Moschet, C.; Gelmi, T.; Lacour, W.; Steinmann, J.. TRINKWASSERQUALITÄ T BEZÜ GLICH DER PFAS-RÜ CKSTÄ NDE, 2024; pp 6 https://www.aquaetgas.ch/ wasser/trinkwasser/20240228_ag3_trinkwasserqualit%C3%A4tbez%C3%BCglich-der-pfas-r%C3%BCckst%C3%A4nde/ (accessed 2024−08−20).",pp 6 https://www.aquaetgas.ch/ wasser/trinkwasser/20240228_ag3_trinkwasserqualit%C3%A4tbez%C3%BCglich-der-pfas-r%C3%BCckst%C3%A4nde/ (accessed 2024−08−20)
"Wang, W.; Rhodes, G.; Ge, J.; Yu, X.; Li, H. Uptake and Accumulation of Per- and Polyfluoroalkyl Substances in Plants. Chemosphere 2020, 261, No. 127584.",", 261, No"
"Ghisi, R.; Vamerali, T.; Manzetti, S. Accumulation of Perfluorinated Alkyl Substances (PFAS) in Agricultural Plants: A Review. Environ. Res. 2019, 169, 326−341.",", 169, 326−341"
"Gredelj, A.; Polesel, F.; Trapp, S. Model-Based Analysis of the Uptake of Perfluoroalkyl Acids (PFAAs) from Soil into Plants. Chemosphere 2020, 244, No. 125534.",", 244, No"
"Lesmeister, L.; Lange, F. T.; Breuer, J.; Biegel-Engler, A.; Giese, E.; Scheurer, M. Extending the Knowledge about PFAS Bioaccumulation Factors for Agricultural Plants − A Review. Sci. Total Environ. 2021, 766, No. 142640.",", 766, No"
"Scott, B. F.; Spencer, C.; Martin, J. W.; Barra, R.; Bootsma, H. A.; Jones, K. C.; Johnston, A. E.; Muir, D. C. G. Comparison of Haloacetic Acids in the Environment of the Northern and Southern Hemispheres. Environ. Sci. Technol. 2005, 39 (22), 8664−8670.",", 39 (22), 8664−8670"
"Lan, Z.; Yao, Y.; Xu, J. Y.; Chen, H.; Ren, C.; Fang, X.; Zhang, K.; Jin, L.; Hua, X.; Alder, A. C.; Wu, F.; Sun, H. Novel and Legacy Per- and Polyfluoroalkyl Substances (PFASs) in a Farmland Perspective Environment: Soil Distribution and Biomonitoring with Plant Leaves and Locusts. Environ. Pollut. 2020, 263, No. 114487.",", 263, No"
"Cahill, T. M.; Thomas, C. M.; Schwarzbach, S. E.; Seiber, J. N. Accumulation of Trifluoroacetate in Seasonal Wetlands in California. Environ. Sci. Technol. 2001, 35 (5), 820−825.",", 35 (5), 820−825"
"EU Reference Laboratories for Residues of Pesticides. EURLSRM-Residue Findings Report, 2017; pp 1−10. https://www.eurlpesticides.eu/userfiles/file/eurlsrm/eurlsrm_residue-observation_tfadfa.pdf (accessed 2023−12−08).",pp 1−10
"van Hees, P.; Karlsson, P.; Bucuricova, L.; Olsman, H.; Yeung, L.. Trifluoroacetic Acid (TFA) and Trifluoromethane Sulphonic Acid (TFMS) in Juice and Fruit/Vegetable Purees, 2024; pp 1−8. https:// cdnmedia.eurofins.com/european-east/media/uxcnaa2c/eurofins_ tfa_tfms_juice_24_final.pdf (accessed 2024−08−27).",pp 1−8
"Duan, Y.; Sun, H.; Yao, Y.; Meng, Y.; Li, Y. Distribution of Novel and Legacy Per-/Polyfluoroalkyl Substances in Serum and Its Associations with Two Glycemic Biomarkers among Chinese Adult Men and Women with Normal Blood Glucose Levels. Environ. Int. 2020, 134, No. 105295.",", 134, No"
"Arnot, J. A.; Gobas, F. A. A Review of Bioconcentration Factor (BCF) and Bioaccumulation Factor (BAF) Assessments for Organic Chemicals in Aquatic Organisms. Environmental Reviews 2006, 14 (4), 257−297.",", 14 (4), 257−297"
"Lucas, K.; Gaines, L. G. T.; Paris-Davila, T.; Nylander-French, L. A. Occupational Exposure and Serum Levels of Per- and Polyfluoroalkyl Substances (PFAS): A Review. American Journal of Industrial Medicine 2023, 66 (5), 379−392.",", 66 (5), 379−392"
"Woodcock, A. The Montreal Protocol: Getting over the Finishing Line? Lancet. 2009, 373 (9665), 705−706.",", 373 (9665), 705−706"
"Zhang, J.; Zhang, Y.; Li, J.; Hu, J.; Ye, P.; Zeng, Z. Monitoring of Trifluoroacetic Acid Concentration in Environmental Waters in China. Water Res. 2005, 39 (7), 1331−1339.",", 39 (7), 1331−1339"
"Zhai, Z.; Wu, J.; Hu, X.; Li, L.; Guo, J.; Zhang, B.; Hu, J.; Zhang, J. A 17-Fold Increase of Trifluoroacetic Acid in Landscape Waters of Beijing, China during the Last Decade. Chemosphere 2015, 129, 110−117.",", 129, 110−117"
"Cahill, T. M. Increases in Trifluoroacetate Concentrations in Surface Waters over Two Decades. Environ. Sci. Technol. 2022, 56 (13), 9428−9434.",", 56 (13), 9428−9434"
"Freeling, F.; Scheurer, M.; Koschorreck, J.; Hoffmann, G.; Ternes, T. A.; Nödler, K. Levels and Temporal Trends of Trifluoroacetate (TFA) in Archived Plants: Evidence for Increasing Emissions of Gaseous TFA Precursors over the Last Decades. Environ. Sci. Technol. Lett. 2022, 9 (5), 400−405.",", 9 (5), 400−405"
"Wang, B.; Yao, Y.; Wang, Y.; Chen, H.; Sun, H. Per- and Polyfluoroalkyl Substances in Outdoor and Indoor Dust from Mainland China: Contributions of Unknown Precursors and Implications for Human Exposure. Environ. Sci. Technol. 2022, 56 (10), 6036−6045.",", 56 (10), 6036−6045"
European Chemicals Agency (ECHA). ECHA Registration Dossier for Trifluoroacetic Acid. https://echa.europa.eu/de/ registration-dossier/-/registered-dossier/5203/7/1 (accessed 2023− 12−15).,− 12−15)
"Scheurer, M.; Nödler, K.; Freeling, F.; Janda, J.; Happel, O.; Riegel, M.; Müller, U.; Storck, F. R.; Fleig, M.; Lange, F. T.; Brunsch, A.; Brauch, H. J. Small, Mobile, Persistent: Trifluoroacetate in the Water Cycle − Overlooked Sources, Pathways, and Consequences for Drinking Water Supply. Water Res. 2017, 126, 460−471.",", 126, 460−471"
"Scott, B. F.; Macdonald, R. W.; Kannan, K.; Fisk, A.; Witter, A.; Yamashita, N.; Durham, L.; Spencer, C.; Muir, D. C. G. Trifluoroacetate Profiles in the Arctic, Atlantic, and Pacific Oceans. Environ. Sci. Technol. 2005, 39 (17), 6555−6560.",", 39 (17), 6555−6560"
"Frank, H.; Christoph, E. H.; Holm-Hansen, O.; Bullister, J. L. Trifluoroacetate in Ocean Waters. Environ. Sci. Technol. 2002, 36 (1), 12−15.",", 36 (1), 12−15"
"Zhang, L.; Sun, H.; Wang, Q.; Chen, H.; Yao, Y.; Zhao, Z.; Alder, A. C. Uptake Mechanisms of Perfluoroalkyl Acids with Different Carbon Chain Lengths (C2-C8) by Wheat (Triticum Acstivnm L.). Sci. Total Environ. 2019, 654, 19−27. 19932 https://doi.org/",", 654, 19−27"
